Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
2008,4,Carbon monoxide,3647.8,41308,130454,99.7346789
2008,6,Carbon monoxide,14494,162577,580018,99.45609054
2008,8,Carbon monoxide,1965.2,22321,75148,99.78202677
2008,9,Carbon monoxide,712.6,8104,17144,99.76675978
2008,10,Carbon monoxide,281.3,3049,17078,99.80084151
2008,11,Carbon monoxide,790.1,9002,17470,99.85048011
2008,12,Carbon monoxide,2634.9,29598,110637,99.58651977
2008,13,Carbon monoxide,428.9,4805,21847,99.70317634
2008,15,Carbon monoxide,273.8,3013,15870,98.24962853
2008,16,Carbon monoxide,264.2,3009,6241,99.63218391
2008,17,Carbon monoxide,1702.3,19320,69210,99.85283934
2008,18,Carbon monoxide,1353.3,15239,49344,99.61579457
2008,19,Carbon monoxide,142.1,1610,8443,99.94034091
2008,20,Carbon monoxide,583.3,6579,25895,99.90277778
2008,21,Carbon monoxide,407.4,4639,16498,99.77068215
2008,22,Carbon monoxide,147.6,1659,8448,99.71671388
2008,23,Carbon monoxide,111.8,1122,14912,98.93949045
2008,24,Carbon monoxide,435.7,4978,16400,99.6122449
2008,25,Carbon monoxide,893.7,9999,42835,99.54266592
2008,26,Carbon monoxide,189.8,2048,12083,99.30374753
2008,27,Carbon monoxide,863.8,9305,51649,99.76958739
2008,29,Carbon monoxide,614.8,6751,34850,99.86726272
2008,30,Carbon monoxide,877.9,10027,30559,99.71260767
2008,31,Carbon monoxide,212.2,2430,8706,99.93112948
2008,32,Carbon monoxide,3427.2,38683,103097,99.48494673
2008,33,Carbon monoxide,219.7,2481,8679,99.89779006
2008,34,Carbon monoxide,1841.4,20741,88260,99.68799133
2008,35,Carbon monoxide,812.4,9105,31966,97.36695906
2008,36,Carbon monoxide,1332.9,14803,71336,99.37545971
2008,37,Carbon monoxide,1260.6,14170,52705,99.27893309
2008,39,Carbon monoxide,2298.7,25787,100646,99.72794293
2008,40,Carbon monoxide,538.5,5882,29214,99.77459016
2008,41,Carbon monoxide,997.7,11364,34084,99.87060478
2008,42,Carbon monoxide,2880.4,31095,172471,99.75374792
2008,44,Carbon monoxide,119,1269,7348,97.50955414
2008,45,Carbon monoxide,257,2759,17379,99.60385144
2008,47,Carbon monoxide,634.6,7002,34211,99.54399441
2008,48,Carbon monoxide,3793.3,41928,182596,99.62249574
2008,49,Carbon monoxide,1226.8,13998,36335,99.86543536
2008,50,Carbon monoxide,350.6,3964,16872,99.43564356
2008,51,Carbon monoxide,1396.9,15406,76698,99.74250936
2008,53,Carbon monoxide,671.5,7666,17241,99.9123783
2008,54,Carbon monoxide,503.2,5563,26144,99.84784601
2008,56,Carbon monoxide,107.8,1080,8587,99.94134078
2008,72,Carbon monoxide,849.4,9656,16343,99.70131772
