Year, State, Pollutant, Yearly Toal Max 8-hour Pollutant Concentration, Yearly Total Pollutant AQI VALUE, Yearly Total Pollutant OBS COUNT, Yearly Average Percent Complete
2000,48,Carbon monoxide,7122.9,80945,164415,99.52927503
2000,49,Carbon monoxide,4291.4,48799,59249,99.70436187
2000,50,Carbon monoxide,371.2,4180,11818,99.27822581
2000,51,Carbon monoxide,3366.4,38212,102169,99.8126612
2000,53,Carbon monoxide,11019.9,125242,151836,99.86550908
2000,54,Carbon monoxide,1248.5,14194,34201,99.72218335
2000,55,Carbon monoxide,1643.3,18402,70199,99.86172755
2000,72,Carbon monoxide,1956.7,22216,19390,99.74320988
2001,1,Carbon monoxide,2437.1,27709,25534,99.80393996
2001,2,Carbon monoxide,2943.6,33362,29457,99.7034931
2001,4,Carbon monoxide,8211.3,93462,133270,99.58500717
2001,5,Carbon monoxide,392.3,4480,8527,99.80337079
2001,6,Carbon monoxide,28222.4,319736,716431,99.61544365
2001,8,Carbon monoxide,6527.4,74296,132347,99.75506512
2001,9,Carbon monoxide,2148.7,24487,42025,99.66021628
2001,10,Carbon monoxide,440.2,4994,15848,99.74773414
2001,11,Carbon monoxide,1013.5,11545,17202,99.82451253
2001,12,Carbon monoxide,6800.5,77440,175735,99.6766948
2001,13,Carbon monoxide,757.2,8630,16620,99.64028777
2001,15,Carbon monoxide,908.1,10186,33991,99.66854328
2001,16,Carbon monoxide,1871.4,21310,25702,99.80521901
2001,17,Carbon monoxide,3629.1,41358,77669,99.82109809
2001,18,Carbon monoxide,1719.2,19556,42585,99.8525605
2001,19,Carbon monoxide,1400.5,15771,41839,99.78706354
2001,20,Carbon monoxide,964.4,10795,33868,99.79915134
2001,21,Carbon monoxide,2297.6,25700,79381,99.71419958
2001,22,Carbon monoxide,1144.5,13052,24366,98.47332687
2001,23,Carbon monoxide,65.1,720,3661,99.69934641
2001,24,Carbon monoxide,505.5,5764,16399,99.60495627
2001,25,Carbon monoxide,2508.7,28594,72357,99.37112722
2001,26,Carbon monoxide,1362.1,15264,59192,99.81060299
2001,27,Carbon monoxide,2675.8,30147,84108,99.70042674
2001,28,Carbon monoxide,270.7,3065,8160,99.70674487
2001,29,Carbon monoxide,2523.4,28617,70352,99.80660538
2001,30,Carbon monoxide,2928.2,33282,55898,99.66195978
2001,31,Carbon monoxide,983.5,11171,25458,99.78739417
2001,32,Carbon monoxide,9024.3,102326,198944,99.84690436
2001,33,Carbon monoxide,632.4,7195,16773,99.69472183
2001,34,Carbon monoxide,4903.9,55803,103958,99.69367089
2001,35,Carbon monoxide,2525,28776,62039,99.57395994
2001,36,Carbon monoxide,5062.6,57588,135039,99.40918728
2001,37,Carbon monoxide,3176.2,36223,74222,99.56793303
2001,39,Carbon monoxide,4669.9,53320,136901,99.70582066
2001,40,Carbon monoxide,2386.4,26817,74489,99.66955684
2001,41,Carbon monoxide,5079.1,57739,67667,99.80318584
2001,42,Carbon monoxide,6003.8,67760,215029,99.73850607
2001,44,Carbon monoxide,664.6,7590,15606,97.78345865
2001,45,Carbon monoxide,965.7,11038,25346,99.72426818
2001,47,Carbon monoxide,3141.9,35713,67263,99.70117396
2001,48,Carbon monoxide,6883.4,78127,169778,99.59284809
2001,49,Carbon monoxide,3600.9,40997,58855,99.76647681
2001,50,Carbon monoxide,237.2,2666,8068,99.16519174
2001,51,Carbon monoxide,3134,35597,96623,99.72628189
2001,53,Carbon monoxide,8873.1,100866,135123,99.84199326
2001,54,Carbon monoxide,1243.6,14128,33437,99.51642857
2001,55,Carbon monoxide,1106.5,12482,42786,99.70525727
2001,56,Carbon monoxide,16.8,168,1339,99.625
2001,72,Carbon monoxide,2100.9,23899,23950,99.89089089
2002,1,Carbon monoxide,1438.3,16318,28643,99.78762542
2002,2,Carbon monoxide,2229.7,25324,26238,99.65633546
2002,4,Carbon monoxide,7833.9,89219,131957,99.67657723
2002,5,Carbon monoxide,309.3,3505,8262,99.7826087
2002,6,Carbon monoxide,27259.3,308481,743108,99.62176249
2002,8,Carbon monoxide,4911.8,55945,104931,99.79662178
2002,9,Carbon monoxide,2191.8,24962,41605,99.57208501
2002,10,Carbon monoxide,416.4,4699,16856,99.76278409
2002,11,Carbon monoxide,1022.2,11657,17357,99.75310345
2002,12,Carbon monoxide,6337.2,72154,173937,99.59213962
2002,13,Carbon monoxide,677.4,7667,19336,99.5908529
2002,15,Carbon monoxide,933.3,10502,34759,99.67584308
2002,16,Carbon monoxide,1024.4,11669,21736,99.74449339
2002,17,Carbon monoxide,3533.1,40270,78309,99.87327824
2002,18,Carbon monoxide,1747.2,19910,42127,99.78908471
2002,19,Carbon monoxide,1327,14972,43507,99.87768595
2002,20,Carbon monoxide,1157.2,12952,36908,99.79364049
2002,21,Carbon monoxide,1338.4,15006,47061,99.63719512
2002,22,Carbon monoxide,905,10306,23601,98.8321608
2002,23,Carbon monoxide,132.4,1408,8265,98.95689655
2002,24,Carbon monoxide,587.3,6690,17240,99.63106796
2002,25,Carbon monoxide,2324.5,26451,70135,99.36348181
2002,26,Carbon monoxide,1499.2,16768,62866,99.74904798
2002,27,Carbon monoxide,2149.9,24119,76271,99.71572011
2002,28,Carbon monoxide,228.5,2572,8747,99.85205479
2002,29,Carbon monoxide,2031.9,23023,56363,99.7642311
2002,30,Carbon monoxide,2761.9,31393,62941,99.67996959
2002,31,Carbon monoxide,955.1,10864,24790,99.7027027
2002,32,Carbon monoxide,8192.2,92786,182655,99.83707202
2002,33,Carbon monoxide,480.3,5457,17405,99.89118457
2002,34,Carbon monoxide,4314.4,49101,104094,99.7752473
2002,35,Carbon monoxide,2230,25435,67185,99.37344693
2002,36,Carbon monoxide,3525.3,40069,109291,99.18884775
2002,37,Carbon monoxide,2579.9,29333,62845,99.56425856
2002,39,Carbon monoxide,4327.2,49307,136721,99.73196779
2002,40,Carbon monoxide,2056.4,23022,72614,99.72247858
2002,41,Carbon monoxide,4708.7,53570,65958,99.82637123
2002,42,Carbon monoxide,4935.9,55373,209459,99.76520348
2002,44,Carbon monoxide,599.2,6822,14697,98.76935484
2002,45,Carbon monoxide,820.7,9368,25179,99.63152896
2002,47,Carbon monoxide,3093.7,35020,75716,99.5214511
2002,48,Carbon monoxide,5813.9,65947,169988,99.72965362
2002,49,Carbon monoxide,3537,40272,58806,99.76425081
2002,50,Carbon monoxide,312.1,3561,8370,99.35897436
2002,51,Carbon monoxide,2787.5,31652,98702,99.77122756
2002,53,Carbon monoxide,7601.8,86454,122500,99.82691179
2002,54,Carbon monoxide,2052.9,23296,34489,99.79444444
2002,55,Carbon monoxide,926.3,10477,34246,99.78391608
2002,56,Carbon monoxide,88.6,993,4354,99.13114754
2002,72,Carbon monoxide,1835.3,20888,21899,99.72131148
2003,1,Carbon monoxide,1067.1,12078,31906,99.88054095
2003,2,Carbon monoxide,1992.9,22620,28395,99.67228307
2003,4,Carbon monoxide,6961.7,79348,128596,99.74218168
2003,5,Carbon monoxide,258,2921,8581,99.87150838
2003,6,Carbon monoxide,25040.8,283431,745429,99.43104552
2003,8,Carbon monoxide,4724.4,53809,108594,99.77309813
2003,9,Carbon monoxide,2077.4,23651,42331,99.87429219
2003,10,Carbon monoxide,423.1,4767,17053,99.79494382
2003,11,Carbon monoxide,915.7,10442,17085,99.84151473
2003,12,Carbon monoxide,6629.9,75423,182007,99.60086682
2003,13,Carbon monoxide,806.8,9217,26144,99.66514181
2003,15,Carbon monoxide,1056.1,11950,34337,99.69965157
2003,16,Carbon monoxide,1345.1,15277,25360,99.87523629
2003,17,Carbon monoxide,2783,31738,69205,99.84522161
2003,18,Carbon monoxide,1712.9,19499,43914,99.49809679
2003,19,Carbon monoxide,1250.7,14095,41614,99.87903226
2003,20,Carbon monoxide,830.1,9248,32689,99.78315018
2003,21,Carbon monoxide,812.3,9159,25501,99.76901408
2003,22,Carbon monoxide,1103.3,12576,25287,98.74695408
2003,23,Carbon monoxide,91.9,987,5808,98.38617886
2003,24,Carbon monoxide,514.5,5852,17295,99.80886427
2003,25,Carbon monoxide,1218.2,13887,38386,99.03343653
2003,26,Carbon monoxide,1258.4,14074,58211,99.64913722
2003,27,Carbon monoxide,1570.2,17497,64244,99.76966083
2003,28,Carbon monoxide,234.7,2667,8614,99.69722222
2003,29,Carbon monoxide,1396,15827,41699,99.85344828
2003,30,Carbon monoxide,2766.3,31437,61343,99.68798752
2003,31,Carbon monoxide,922.8,10513,25788,99.8605948
2003,32,Carbon monoxide,7054.1,79924,160074,99.831163
2003,33,Carbon monoxide,580.4,6615,16890,99.67988669
2003,34,Carbon monoxide,3846.6,43679,94937,99.79086781
2003,35,Carbon monoxide,2274.9,25867,73955,99.4333656
2003,36,Carbon monoxide,3531.7,40168,105224,99.48468346
2003,37,Carbon monoxide,2193.6,25015,53456,99.52323503
2003,39,Carbon monoxide,4382.1,49849,136347,99.75627744
2003,40,Carbon monoxide,1498.4,16683,59782,99.636
2003,41,Carbon monoxide,4148.7,47211,64157,99.85730295
2003,42,Carbon monoxide,4892.1,54692,206855,99.69832273
2003,44,Carbon monoxide,535.4,6105,14842,98.62998405
2003,45,Carbon monoxide,857,9696,31931,99.58458084
2003,47,Carbon monoxide,2431.3,27592,55903,99.54145299
2003,48,Carbon monoxide,6128.8,69664,170866,99.62762385
2003,49,Carbon monoxide,2996,34160,56473,99.78880407
2003,50,Carbon monoxide,414,4721,13867,99.4475043
2003,51,Carbon monoxide,2636.5,29909,94766,99.78695982
2003,53,Carbon monoxide,5251.8,59762,86121,99.81502086
2003,54,Carbon monoxide,1714.7,19454,34790,99.90213646
2003,55,Carbon monoxide,471.1,5344,18174,99.63684211
2003,56,Carbon monoxide,72.8,820,3863,99.36419753
2003,72,Carbon monoxide,1271.8,14469,13605,99.80105634
2004,1,Carbon monoxide,1082.5,12209,26253,99.89680365
2004,2,Carbon monoxide,1912.6,21702,25138,99.6565176
2004,4,Carbon monoxide,5927.5,67603,132918,99.69810981
2004,5,Carbon monoxide,205.9,2334,8726,99.88461538
2004,6,Carbon monoxide,21523.6,242521,716060,99.29963058
2004,8,Carbon monoxide,4718.2,53776,123282,99.78108003
2004,9,Carbon monoxide,1498.9,17087,33734,99.75727466
2004,10,Carbon monoxide,411.2,4633,17042,99.87060478
2004,11,Carbon monoxide,735.2,8395,17375,99.85517241
2004,12,Carbon monoxide,6271.9,71289,176143,99.69125238
2004,13,Carbon monoxide,655.3,7455,24088,99.56944444
2004,15,Carbon monoxide,960.3,10905,32066,99.63310962
2004,16,Carbon monoxide,1043.3,11889,17174,99.94134078
2004,17,Carbon monoxide,2705.4,30836,69521,99.85177525
2004,18,Carbon monoxide,2365.7,26889,67404,99.73401989
2004,19,Carbon monoxide,1276.9,14307,43473,99.85501654
2004,20,Carbon monoxide,859.2,9652,33574,99.70848182
2004,21,Carbon monoxide,621.3,7060,17068,99.74474053
2004,22,Carbon monoxide,947.6,10783,25658,99.72761194
2004,23,Carbon monoxide,132.5,1374,9480,98.50374065
2004,24,Carbon monoxide,483.4,5472,17234,99.87204451
2004,25,Carbon monoxide,932.9,10512,41305,99.42403235
2004,26,Carbon monoxide,1235.4,13732,58939,99.78870378
2004,27,Carbon monoxide,1352.7,15000,60356,99.79444444
2004,28,Carbon monoxide,200.9,2255,8448,99.71671388
2004,29,Carbon monoxide,976.8,11013,34492,99.80277778
2004,30,Carbon monoxide,2239.7,25397,57143,99.66722478
2004,31,Carbon monoxide,866.6,9877,25603,99.79326473
2004,32,Carbon monoxide,6310.2,71668,138060,99.86944444
2004,33,Carbon monoxide,533.6,6033,17201,99.68011127
2004,34,Carbon monoxide,3322.5,37781,91794,99.78398122
2004,35,Carbon monoxide,2236.8,25202,88523,99.55357625
2004,36,Carbon monoxide,2889.2,32790,101129,99.47308782
2004,37,Carbon monoxide,1979.1,22548,55419,99.53103448
2004,39,Carbon monoxide,3970.8,45266,128071,99.70590433
2004,40,Carbon monoxide,975,10475,56516,99.61167513
2004,41,Carbon monoxide,3852.2,43882,64775,99.84942656
2004,42,Carbon monoxide,4893.3,54844,213570,99.72845456
2004,44,Carbon monoxide,476,5427,15479,98.31707317
2004,45,Carbon monoxide,740.3,8277,32593,99.56304985
2004,47,Carbon monoxide,1846.7,21061,46766,99.46707504
2004,48,Carbon monoxide,4993.2,56547,172499,99.65945646
2004,49,Carbon monoxide,2167.9,24718,46467,99.79948454
2004,50,Carbon monoxide,461.9,5241,16079,99.40059347
2004,51,Carbon monoxide,2426.7,27304,101285,99.7678487
2004,53,Carbon monoxide,4341.5,49413,76205,99.81735303
2004,54,Carbon monoxide,1189,13518,33355,99.84051724
2004,55,Carbon monoxide,453.5,5141,16956,99.64739069
2004,56,Carbon monoxide,38.6,417,2534,99.60377358
2004,72,Carbon monoxide,1089.5,12396,12475,99.95961538
2005,1,Carbon monoxide,1385.2,15575,25917,99.89546716
2005,2,Carbon monoxide,1347.7,15318,19778,99.76634383
2005,4,Carbon monoxide,5530.2,63017,132464,99.66197183
2005,5,Carbon monoxide,209.5,2375,8713,99.73901099
